Profile Name,DayOfWeek,Hour,Views
Olu,Monday,0,65
Olu,Monday,1,58
Olu,Monday,2,50
Olu,Monday,3,29
Olu,Monday,4,42
Olu,Monday,5,18
Olu,Monday,6,13
Olu,Monday,7,7
Olu,Monday,8,4
Olu,Monday,9,5
Olu,Monday,11,5
Olu,Monday,12,10
Olu,Monday,13,20
Olu,Monday,14,12
Olu,Monday,15,16
Olu,Monday,16,20
Olu,Monday,17,32
Olu,Monday,18,41
Olu,Monday,19,27
Olu,Monday,20,25
Olu,Monday,21,21
Olu,Monday,22,14
Olu,Monday,23,14
Olu,Tuesday,0,29
Olu,Tuesday,1,71
Olu,Tuesday,2,49
Olu,Tuesday,3,32
Olu,Tuesday,4,21
Olu,Tuesday,5,7
Olu,Tuesday,6,2
Olu,Tuesday,7,1
Olu,Tuesday,9,3
Olu,Tuesday,11,8
Olu,Tuesday,12,34
Olu,Tuesday,13,10
Olu,Tuesday,14,5
Olu,Tuesday,15,6
Olu,Tuesday,16,11
Olu,Tuesday,17,24
Olu,Tuesday,18,34
Olu,Tuesday,19,39
Olu,Tuesday,20,36
Olu,Tuesday,21,16
Olu,Tuesday,22,43
Olu,Tuesday,23,38
Olu,Wednesday,0,44
Olu,Wednesday,1,25
Olu,Wednesday,2,30
Olu,Wednesday,3,35
Olu,Wednesday,4,34
Olu,Wednesday,5,15
Olu,Wednesday,6,12
Olu,Wednesday,7,7
Olu,Wednesday,8,3
Olu,Wednesday,9,4
Olu,Wednesday,10,8
Olu,Wednesday,11,5
Olu,Wednesday,12,27
Olu,Wednesday,13,16
Olu,Wednesday,14,14
Olu,Wednesday,15,13
Olu,Wednesday,16,31
Olu,Wednesday,17,53
Olu,Wednesday,18,33
Olu,Wednesday,19,37
Olu,Wednesday,20,21
Olu,Wednesday,21,42
Olu,Wednesday,22,31
Olu,Wednesday,23,31
Olu,Thursday,0,26
Olu,Thursday,1,53
Olu,Thursday,2,35
Olu,Thursday,3,41
Olu,Thursday,4,25
Olu,Thursday,5,10
Olu,Thursday,6,1
Olu,Thursday,7,1
Olu,Thursday,8,1
Olu,Thursday,9,1
Olu,Thursday,10,3
Olu,Thursday,11,3
Olu,Thursday,12,22
Olu,Thursday,13,11
Olu,Thursday,14,11
Olu,Thursday,15,5
Olu,Thursday,16,31
Olu,Thursday,17,36
Olu,Thursday,18,33
Olu,Thursday,19,21
Olu,Thursday,20,39
Olu,Thursday,21,41
Olu,Thursday,22,25
Olu,Thursday,23,34
Olu,Friday,0,23
Olu,Friday,1,54
Olu,Friday,2,59
Olu,Friday,3,53
Olu,Friday,4,50
Olu,Friday,5,44
Olu,Friday,6,17
Olu,Friday,7,1
Olu,Friday,10,3
Olu,Friday,11,15
Olu,Friday,12,33
Olu,Friday,13,26
Olu,Friday,14,18
Olu,Friday,15,37
Olu,Friday,16,28
Olu,Friday,17,42
Olu,Friday,18,48
Olu,Friday,19,42
Olu,Friday,20,31
Olu,Friday,21,20
Olu,Friday,22,32
Olu,Friday,23,44
Olu,Saturday,0,75
Olu,Saturday,1,80
Olu,Saturday,2,49
Olu,Saturday,3,39
Olu,Saturday,4,22
Olu,Saturday,5,14
Olu,Saturday,6,20
Olu,Saturday,7,16
Olu,Saturday,8,21
Olu,Saturday,9,12
Olu,Saturday,10,16
Olu,Saturday,11,8
Olu,Saturday,12,8
Olu,Saturday,13,8
Olu,Saturday,14,21
Olu,Saturday,15,16
Olu,Saturday,16,15
Olu,Saturday,17,37
Olu,Saturday,18,38
Olu,Saturday,19,46
Olu,Saturday,20,64
Olu,Saturday,21,37
Olu,Saturday,22,31
Olu,Saturday,23,50
Olu,Sunday,0,60
Olu,Sunday,1,36
Olu,Sunday,2,38
Olu,Sunday,3,45
Olu,Sunday,4,30
Olu,Sunday,5,14
Olu,Sunday,6,26
Olu,Sunday,7,18
Olu,Sunday,8,13
Olu,Sunday,9,18
Olu,Sunday,10,12
Olu,Sunday,11,9
Olu,Sunday,12,8
Olu,Sunday,13,2
Olu,Sunday,14,10
Olu,Sunday,15,20
Olu,Sunday,16,25
Olu,Sunday,17,20
Olu,Sunday,18,36
Olu,Sunday,19,37
Olu,Sunday,20,50
Olu,Sunday,21,59
Olu,Sunday,22,50
Olu,Sunday,23,71
Sil,Monday,0,30
Sil,Monday,1,26
Sil,Monday,2,12
Sil,Monday,3,6
Sil,Monday,4,2
Sil,Monday,20,1
Sil,Monday,21,1
Sil,Monday,22,11
Sil,Monday,23,11
Sil,Tuesday,0,27
Sil,Tuesday,1,21
Sil,Tuesday,2,4
Sil,Tuesday,3,4
Sil,Tuesday,4,1
Sil,Tuesday,17,2
Sil,Tuesday,18,3
Sil,Tuesday,19,3
Sil,Tuesday,20,1
Sil,Tuesday,21,1
Sil,Tuesday,23,6
Sil,Wednesday,0,21
Sil,Wednesday,1,16
Sil,Wednesday,2,6
Sil,Wednesday,3,7
Sil,Wednesday,14,2
Sil,Wednesday,15,1
Sil,Wednesday,17,1
Sil,Wednesday,22,3
Sil,Wednesday,23,3
Sil,Thursday,0,13
Sil,Thursday,1,17
Sil,Thursday,2,6
Sil,Thursday,3,5
Sil,Thursday,4,1
Sil,Thursday,18,1
Sil,Thursday,20,1
Sil,Thursday,21,1
Sil,Thursday,22,5
Sil,Thursday,23,5
Sil,Friday,0,16
Sil,Friday,1,21
Sil,Friday,2,11
Sil,Friday,3,3
Sil,Friday,7,1
Sil,Friday,21,4
Sil,Friday,22,11
Sil,Friday,23,12
Sil,Saturday,0,39
Sil,Saturday,1,29
Sil,Saturday,2,20
Sil,Saturday,3,19
Sil,Saturday,4,2
Sil,Saturday,5,1
Sil,Saturday,14,1
Sil,Saturday,16,1
Sil,Saturday,17,2
Sil,Saturday,18,10
Sil,Saturday,19,8
Sil,Saturday,20,2
Sil,Saturday,21,17
Sil,Saturday,22,12
Sil,Saturday,23,25
Sil,Sunday,0,38
Sil,Sunday,1,29
Sil,Sunday,2,25
Sil,Sunday,3,18
Sil,Sunday,4,11
Sil,Sunday,5,6
Sil,Sunday,6,1
Sil,Sunday,7,2
Sil,Sunday,8,1
Sil,Sunday,9,2
Sil,Sunday,10,1
Sil,Sunday,11,2
Sil,Sunday,12,2
Sil,Sunday,13,2
Sil,Sunday,14,1
Sil,Sunday,15,3
Sil,Sunday,16,3
Sil,Sunday,17,6
Sil,Sunday,18,8
Sil,Sunday,19,18
Sil,Sunday,20,13
Sil,Sunday,21,9
Sil,Sunday,22,12
Sil,Sunday,23,25
Uma,Monday,0,143
Uma,Monday,1,117
Uma,Monday,2,76
Uma,Monday,3,39
Uma,Monday,4,17
Uma,Monday,5,2
Uma,Monday,6,2
Uma,Monday,7,1
Uma,Monday,8,1
Uma,Monday,9,3
Uma,Monday,10,13
Uma,Monday,11,1
Uma,Monday,12,16
Uma,Monday,13,42
Uma,Monday,14,64
Uma,Monday,15,81
Uma,Monday,16,92
Uma,Monday,17,65
Uma,Monday,18,64
Uma,Monday,19,94
Uma,Monday,20,119
Uma,Monday,21,69
Uma,Monday,22,78
Uma,Monday,23,110
Uma,Tuesday,0,130
Uma,Tuesday,1,157
Uma,Tuesday,2,73
Uma,Tuesday,3,33
Uma,Tuesday,4,11
Uma,Tuesday,9,2
Uma,Tuesday,11,3
Uma,Tuesday,12,9
Uma,Tuesday,13,33
Uma,Tuesday,14,45
Uma,Tuesday,15,54
Uma,Tuesday,16,132
Uma,Tuesday,17,108
Uma,Tuesday,18,90
Uma,Tuesday,19,96
Uma,Tuesday,20,62
Uma,Tuesday,21,55
Uma,Tuesday,22,75
Uma,Tuesday,23,125
Uma,Wednesday,0,120
Uma,Wednesday,1,137
Uma,Wednesday,2,76
Uma,Wednesday,3,25
Uma,Wednesday,4,3
Uma,Wednesday,5,2
Uma,Wednesday,6,1
Uma,Wednesday,7,2
Uma,Wednesday,10,13
Uma,Wednesday,11,9
Uma,Wednesday,12,4
Uma,Wednesday,13,43
Uma,Wednesday,14,35
Uma,Wednesday,15,50
Uma,Wednesday,16,83
Uma,Wednesday,17,60
Uma,Wednesday,18,42
Uma,Wednesday,19,59
Uma,Wednesday,20,95
Uma,Wednesday,21,81
Uma,Wednesday,22,107
Uma,Wednesday,23,113
Uma,Thursday,0,119
Uma,Thursday,1,121
Uma,Thursday,2,64
Uma,Thursday,3,33
Uma,Thursday,4,13
Uma,Thursday,5,2
Uma,Thursday,7,1
Uma,Thursday,10,4
Uma,Thursday,11,9
Uma,Thursday,12,8
Uma,Thursday,13,26
Uma,Thursday,14,38
Uma,Thursday,15,45
Uma,Thursday,16,95
Uma,Thursday,17,137
Uma,Thursday,18,90
Uma,Thursday,19,104
Uma,Thursday,20,68
Uma,Thursday,21,64
Uma,Thursday,22,80
Uma,Thursday,23,120
Uma,Friday,0,130
Uma,Friday,1,116
Uma,Friday,2,89
Uma,Friday,3,38
Uma,Friday,4,15
Uma,Friday,5,2
Uma,Friday,7,1
Uma,Friday,8,3
Uma,Friday,10,10
Uma,Friday,11,5
Uma,Friday,12,17
Uma,Friday,13,37
Uma,Friday,14,38
Uma,Friday,15,60
Uma,Friday,16,71
Uma,Friday,17,64
Uma,Friday,18,55
Uma,Friday,19,59
Uma,Friday,20,111
Uma,Friday,21,88
Uma,Friday,22,112
Uma,Friday,23,119
Uma,Saturday,0,122
Uma,Saturday,1,92
Uma,Saturday,2,66
Uma,Saturday,3,81
Uma,Saturday,4,42
Uma,Saturday,5,21
Uma,Saturday,6,17
Uma,Saturday,7,6
Uma,Saturday,8,5
Uma,Saturday,10,1
Uma,Saturday,11,9
Uma,Saturday,12,18
Uma,Saturday,13,78
Uma,Saturday,14,103
Uma,Saturday,15,117
Uma,Saturday,16,100
Uma,Saturday,17,78
Uma,Saturday,18,65
Uma,Saturday,19,117
Uma,Saturday,20,69
Uma,Saturday,21,89
Uma,Saturday,22,123
Uma,Saturday,23,130
Uma,Sunday,0,101
Uma,Sunday,1,78
Uma,Sunday,2,81
Uma,Sunday,3,75
Uma,Sunday,4,50
Uma,Sunday,5,32
Uma,Sunday,6,13
Uma,Sunday,7,18
Uma,Sunday,8,6
Uma,Sunday,11,5
Uma,Sunday,12,17
Uma,Sunday,13,58
Uma,Sunday,14,124
Uma,Sunday,15,114
Uma,Sunday,16,97
Uma,Sunday,17,82
Uma,Sunday,18,85
Uma,Sunday,19,118
Uma,Sunday,20,82
Uma,Sunday,21,99
Uma,Sunday,22,141
Uma,Sunday,23,138
